method,total_images,successful,failed,total_time_seconds,api_calls,avg_clip_score,images_per_second,timestamp,batch_size
single,51,51,0,12.272521018981934,51,33.42276829130509,4.155625394417186,2025-08-17T20:22:51.385392,
batch,51,51,0,2.4887707233428955,1,33.42276829130509,20.492044334038628,2025-08-17T20:22:53.874308,32.0
