method,total_images,successful,failed,total_time_seconds,api_calls,avg_clip_score,images_per_second,timestamp,batch_size
single,51,51,0,46.40454602241516,51,33.422780007708305,1.0990302539618653,2025-08-14T21:54:43.889494,
batch,51,51,0,8.770910263061523,1,33.422780007708305,5.814675839836746,2025-08-14T21:54:52.660600,32.0
